date,equity,cash,day_pnl_pct
2026-07-02,100000.0,100000,0.0
2026-07-06,100000.0,100000,0.0
2026-07-07,100000.0,100000,0.0
2026-07-08,100000.0,100000,0.0
2026-07-09,101049.99,90643.59,0.989
2026-07-10,100136.79,90643.59,-0.272
2026-07-11,100045.59,90643.59,-0.363
2026-07-13,99273.99,90643.59,-0.771
2026-07-14,99913.62,99913.62,0.005
2026-07-15,99819.4,87436.5,-0.094
2026-07-16,99101.42,87436.49,-0.715
2026-07-17,98681.07,98681.07,-0.632
2026-07-18,98681.07,98681.07,-0.632
2026-07-20,98752.31,92538.55,0.072
2026-07-21,98846.54,92538.54,0.2
2026-07-22,98924.06,92538.54,0.111
2026-07-23,98460.49,64375.18,0.0
2026-07-24,97296.79,64375.17,-0.658
2026-07-25,96817.61,53481.97,0.0
2026-07-27,96729.6,53481.97,-0.091
2026-07-28,84615.95,53481.97,-12.805
2026-07-29,95284.43,53481.97,-1.826
2026-07-30,97682.08,53481.97,0.644
2026-07-31,96805.41,53481.97,-0.404
2026-08-03,97624.02,53481.97,0.729
2026-08-04,99702.0,53481.97,2.295
2026-08-05,98731.31,53481.97,-0.935
2026-08-06,98109.01,98109.01,-0.642
2026-08-07,98790.24,68852.47,0.695
2026-08-10,99122.62,68852.46,0.419
2026-08-11,100245.45,56630.76,1.188
2026-08-12,100054.83,56630.75,0.477
2026-08-13,98122.31,56630.75,-1.892
2026-08-14,97017.44,56630.75,-1.171
2026-08-17,96470.05,56630.75,-0.636
2026-08-18,95683.1,56630.75,-0.58
2026-08-19,95870.57,56630.75,0.255
2026-08-20,95801.85,56630.75,0.141
2026-08-21,96643.1,56630.75,0.766
2026-08-24,96247.36,56630.75,-0.249
